rt,stimulus,response,type_of_trial,subject,trial_type,trial_index,time_elapsed,internal_node_id,run_id,condition,recorded_at,source_code_version,ip,user_agent,device,browser,browser_version,platform,platform_version,all_responses,accuracy,words,clue,board,pragmatics,accessibility,clue_type,question_order
10750,ROMANCE,"[""DATING"",""BOYFRIEND""]",practice,12523,connector,3,44743,0.0-1.0-1.0,9,3,2/23/23 0:20,197583627f3f28595f5da48ed5410dcb,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36",Macintosh,Chrome,110.0.0.0,OS X,10_15_7,"[""DATING"",""BOYFRIEND""]",1,dating-boyfriend,romance,"[""LEGEND"",""WINDOW"",""SCALES"",""WIMP"",""MULTICULTURAL"",""ATTRACT"",""GEL"",""HAIL"",""BICEPS"",""PUDDLE"",""DATING"",""BOTHER"",""LAP"",""BOYFRIEND"",""INTRUSIVE"",""EVANGELICAL"",""BUST"",""PILE"",""VISUALIZE"",""CREVASSE""]",0.000165017,34,high_a_high_p,
null,<p style='font-size: 48px;'>+</p>,null,fixation,12523,html-keyboard-response,4,45752,0.0-1.0-0.1,9,3,2/23/23 0:20,197583627f3f28595f5da48ed5410dcb,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36",Macintosh,Chrome,110.0.0.0,OS X,10_15_7,,,,,,,,,
32896,SWIMMER,"[""LIFEGUARD"",""BOATING""]",practice,12523,connector,5,78651,0.0-1.0-1.1,9,3,2/23/23 0:20,197583627f3f28595f5da48ed5410dcb,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36",Macintosh,Chrome,110.0.0.0,OS X,10_15_7,"[""LIFEGUARD"",""BOATING""]",1,lifeguard-boating,swimmer,"[""TAPS"",""STRIP"",""LIGHTENING"",""RECEIVER"",""PERIMETER"",""TAKEOVER"",""RETIREMENT"",""THRIFTY"",""BOATING"",""GREED"",""ADMISSION"",""STONE"",""DECOMPOSITION"",""GUMMY"",""MISFORTUNE"",""LIFEGUARD"",""DIAGONAL"",""REJOICE"",""FOREVER"",""ORANGES""]",0.000168199,18,high_a_high_p,
null,<p style='font-size: 48px;'>+</p>,null,fixation,12523,html-keyboard-response,6,79663,0.0-1.0-0.2,9,3,2/23/23 0:20,197583627f3f28595f5da48ed5410dcb,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36",Macintosh,Chrome,110.0.0.0,OS X,10_15_7,,,,,,,,,
10256,SPOOKY,"[""SUPERNATURAL"",""SCARY""]",practice,12523,connector,7,89923,0.0-1.0-1.2,9,3,2/23/23 0:20,197583627f3f28595f5da48ed5410dcb,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36",Macintosh,Chrome,110.0.0.0,OS X,10_15_7,"[""SHADOWY"",""SUPERNATURAL"",""SCARY""]",1,scary-supernatural,spooky,"[""SKI"",""SHADOWY"",""KNOCK"",""PAYBACK"",""SUBMISSION"",""MAIZE"",""MICROSCOPE"",""SUPERNATURAL"",""SCARY"",""VALID"",""SINCERE"",""FLORAL"",""PAINKILLER"",""AIMLESS"",""PAL"",""VINTAGE"",""ENSEMBLE"",""PRESSURE"",""UNDERDOG"",""MINTS""]",0.000186499,75,high_a_high_p,
null,<p style='font-size: 48px;'>+</p>,null,fixation,12523,html-keyboard-response,8,90929,0.0-1.0-0.3,9,3,2/23/23 0:20,197583627f3f28595f5da48ed5410dcb,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36",Macintosh,Chrome,110.0.0.0,OS X,10_15_7,,,,,,,,,
17838,PEACOCK,"[""FEATHER"",""GIANT""]",practice,12523,connector,9,108769,0.0-1.0-1.3,9,3,2/23/23 0:20,197583627f3f28595f5da48ed5410dcb,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36",Macintosh,Chrome,110.0.0.0,OS X,10_15_7,"[""FEATHER"",""FOOLISH"",""GIANT""]",0,feather-toucan,peacock,"[""WHO"",""RITUAL"",""MUFFLED"",""FLIGHTY"",""MENACE"",""SURRENDER"",""TOUCAN"",""FOOTWEAR"",""WALKING"",""FEATHER"",""GIANT"",""CATS"",""FOOLISH"",""POSTERIOR"",""ENERGETIC"",""FORTIFY"",""CLIFF"",""DONKEY"",""ENGAGE"",""NONCHALANT""]",0.000183463,15,high_a_high_p,
31346,"<p style='font-size: 20px; padding-right: 10%; padding-left: 10%'> This concludes the practice trials. <br> <br> When you are ready, please click the button below, and the experiment will automatically move you through the 60 experimental trials.</p>",0,move_to_experiment,12523,html-button-response,10,140118,0.0-2.0,9,3,2/23/23 0:20,197583627f3f28595f5da48ed5410dcb,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36",Macintosh,Chrome,110.0.0.0,OS X,10_15_7,,,,,,,,,
null,<p style='font-size: 48px;'>+</p>,null,fixation,12523,html-keyboard-response,11,141128,0.0-3.0-0.0,9,3,2/23/23 0:20,197583627f3f28595f5da48ed5410dcb,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36",Macintosh,Chrome,110.0.0.0,OS X,10_15_7,,,,,,,,,
19895,GIRL,"[""ELEGANCE"",""GULP""]",,12523,connector,12,161027,0.0-3.0-1.0,9,3,2/23/23 0:20,197583627f3f28595f5da48ed5410dcb,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36",Macintosh,Chrome,110.0.0.0,OS X,10_15_7,"[""ELEGANCE"",""GULP""]",0,pram-diapers,girl,"[""ANYWAY"",""LOUSE"",""CENTERED"",""SILL"",""PRAM"",""DIAPERS"",""ASPECT"",""ORDERED"",""GULP"",""STEERING"",""DISTURB"",""LENSES"",""CANARY"",""WIRELESS"",""ELEGANCE"",""TEXTURE"",""ROUGE"",""CARRYING"",""WISHFUL"",""SLUSHY""]",0.0000859,61,high_a_low_p,
null,<p style='font-size: 48px;'>+</p>,null,fixation,12523,html-keyboard-response,13,162037,0.0-3.0-0.1,9,3,2/23/23 0:20,197583627f3f28595f5da48ed5410dcb,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36",Macintosh,Chrome,110.0.0.0,OS X,10_15_7,,,,,,,,,
8283,COMMERCE,"[""BANKS"",""EARNER""]",,12523,connector,14,170324,0.0-3.0-1.1,9,3,2/23/23 0:20,197583627f3f28595f5da48ed5410dcb,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36",Macintosh,Chrome,110.0.0.0,OS X,10_15_7,"[""BANKS"",""EARNER""]",0,buyer-earner,commerce,"[""PREACHER"",""BUYER"",""BOILED"",""DISGUST"",""SWOLLEN"",""PITCH"",""ARTICHOKE"",""TWEET"",""KNITTING"",""MADLY"",""INTRICATE"",""CENTURY"",""AID"",""UNDERGROUND"",""PRODIGAL"",""TELESCOPE"",""BANKS"",""EARNER"",""RELATIVITY"",""TUNNEL""]",0.000177755,3,low_a_high_p,
null,<p style='font-size: 48px;'>+</p>,null,fixation,12523,html-keyboard-response,15,171336,0.0-3.0-0.2,9,3,2/23/23 0:20,197583627f3f28595f5da48ed5410dcb,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36",Macintosh,Chrome,110.0.0.0,OS X,10_15_7,,,,,,,,,
12327,PERPETUAL,"[""ENDLESS"",""EVER""]",,12523,connector,16,183666,0.0-3.0-1.2,9,3,2/23/23 0:20,197583627f3f28595f5da48ed5410dcb,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36",Macintosh,Chrome,110.0.0.0,OS X,10_15_7,"[""ENDLESS"",""EVER""]",1,ever-endless,perpetual,"[""PROSPERITY"",""MILLION"",""IMPROPER"",""STERILE"",""WRONG"",""ACCESSORY"",""RUBRIC"",""HOP"",""STEADY"",""GOO"",""TELEGRAPH"",""LAYOUT"",""SCIENTIFIC"",""MARAUDER"",""CONQUISTADOR"",""ENDLESS"",""LOAF"",""MAIDEN"",""RESTAURANT"",""EVER""]",0.000185175,9,low_a_high_p,
null,<p style='font-size: 48px;'>+</p>,null,fixation,12523,html-keyboard-response,17,184672,0.0-3.0-0.3,9,3,2/23/23 0:20,197583627f3f28595f5da48ed5410dcb,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36",Macintosh,Chrome,110.0.0.0,OS X,10_15_7,,,,,,,,,
20767,FREE,"[""UNDESIRABLE"",""EXCITE""]",,12523,connector,18,205441,0.0-3.0-1.3,9,3,2/23/23 0:20,197583627f3f28595f5da48ed5410dcb,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36",Macintosh,Chrome,110.0.0.0,OS X,10_15_7,"[""UNDESIRABLE"",""EXCITE""]",0,gluten-flour,free,"[""DOLLARS"",""RUFFLE"",""GLUTEN"",""ACHING"",""CHEERLEADER"",""MAJESTY"",""EXCITE"",""CREST"",""RESTART"",""PROGRAMMING"",""MOLDY"",""MOLECULE"",""CROSSROAD"",""SURROUNDED"",""UNDESIRABLE"",""FEROCIOUS"",""FLOUR"",""NEEDLE"",""CUSTOMER"",""CURTAIN""]",0.0000836,131,high_a_low_p,
null,<p style='font-size: 48px;'>+</p>,null,fixation,12523,html-keyboard-response,19,206449,0.0-3.0-0.4,9,3,2/23/23 0:20,197583627f3f28595f5da48ed5410dcb,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36",Macintosh,Chrome,110.0.0.0,OS X,10_15_7,,,,,,,,,
11153,PEACE,"[""DOVE"",""SURFING""]",,12523,connector,20,217605,0.0-3.0-1.4,9,3,2/23/23 0:20,197583627f3f28595f5da48ed5410dcb,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36",Macintosh,Chrome,110.0.0.0,OS X,10_15_7,"[""DOVE"",""SURFING""]",0,partridge-dove,peace,"[""RASCAL"",""CUSTODY"",""NEURON"",""BALANCE"",""DOVE"",""DANCER"",""IDENTICAL"",""THIEF"",""BRAKE"",""ACQUAINTANCE"",""PARTRIDGE"",""BIO"",""SANITY"",""COLLOQUIAL"",""FLUTTER"",""SURFING"",""AFTER"",""CRATER"",""SAUCEPAN"",""MUSK""]",0.0000897,198,high_a_low_p,
null,<p style='font-size: 48px;'>+</p>,null,fixation,12523,html-keyboard-response,21,218618,0.0-3.0-0.5,9,3,2/23/23 0:20,197583627f3f28595f5da48ed5410dcb,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36",Macintosh,Chrome,110.0.0.0,OS X,10_15_7,,,,,,,,,
10181,INTELLIGENCE,"[""THINKER"",""WITTY""]",,12523,connector,22,228803,0.0-3.0-1.5,9,3,2/23/23 0:20,197583627f3f28595f5da48ed5410dcb,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36",Macintosh,Chrome,110.0.0.0,OS X,10_15_7,"[""THINKER"",""WITTY""]",0,knowing-thinker,intelligence,"[""CROWD"",""CAPTURE"",""SEEN"",""STEALTH"",""THINKER"",""TABLES"",""FAITHFUL"",""SUPERMARKET"",""WITTY"",""FORTHRIGHT"",""MAKEUP"",""DISTANT"",""JOURNEY"",""IDOL"",""KNOWING"",""GOOEY"",""TERMINAL"",""PURSE"",""GEISHA"",""SENSUOUS""]",0.000167179,53,high_a_high_p,
null,<p style='font-size: 48px;'>+</p>,null,fixation,12523,html-keyboard-response,23,229809,0.0-3.0-0.6,9,3,2/23/23 0:20,197583627f3f28595f5da48ed5410dcb,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36",Macintosh,Chrome,110.0.0.0,OS X,10_15_7,,,,,,,,,
8337,DEER,"[""FOAL"",""GALLOP""]",,12523,connector,24,238150,0.0-3.0-1.6,9,3,2/23/23 0:20,197583627f3f28595f5da48ed5410dcb,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36",Macintosh,Chrome,110.0.0.0,OS X,10_15_7,"[""FOAL"",""GALLOP""]",1,gallop-foal,deer,"[""OCCURRENCE"",""MESH"",""LOBOTOMY"",""FINALLY"",""SPARSE"",""FOAL"",""NUTRITIOUS"",""PLACE"",""IRONY"",""ARTISTIC"",""LIVING"",""INFERENCE"",""STRAW"",""GALLOP"",""RUM"",""CHIP"",""INTENDED"",""EXTEND"",""SEQUENCE"",""METICULOUS""]",0.0000869,62,high_a_low_p,
null,<p style='font-size: 48px;'>+</p>,null,fixation,12523,html-keyboard-response,25,239162,0.0-3.0-0.7,9,3,2/23/23 0:20,197583627f3f28595f5da48ed5410dcb,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36",Macintosh,Chrome,110.0.0.0,OS X,10_15_7,,,,,,,,,
23621,CREAM,"[""PEACHES"",""TOOTHACHE""]",,12523,connector,26,262788,0.0-3.0-1.7,9,3,2/23/23 0:20,197583627f3f28595f5da48ed5410dcb,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36",Macintosh,Chrome,110.0.0.0,OS X,10_15_7,"[""PEACHES"",""TOOTHACHE""]",0,peaches-mandarin,cream,"[""SHOE"",""MANDARIN"",""OPTIMISTIC"",""CONSIDERATION"",""INSIGHTFUL"",""ZODIAC"",""HONEYDEW"",""VACCINATION"",""BOLTS"",""DETER"",""ELEPHANT"",""PEACHES"",""AUDIENCE"",""POTENT"",""MIGRAINE"",""SKITTISH"",""TOOTHACHE"",""BUCKLE"",""SINNER"",""RESOURCES""]",0.0000883,144,high_a_low_p,
null,<p style='font-size: 48px;'>+</p>,null,fixation,12523,html-keyboard-response,27,263799,0.0-3.0-0.8,9,3,2/23/23 0:20,197583627f3f28595f5da48ed5410dcb,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36",Macintosh,Chrome,110.0.0.0,OS X,10_15_7,,,,,,,,,
127360,IVY,"[""PLANT"",""VINES""]",,12523,connector,28,391164,0.0-3.0-1.8,9,3,2/23/23 0:20,197583627f3f28595f5da48ed5410dcb,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36",Macintosh,Chrome,110.0.0.0,OS X,10_15_7,"[""PLANT"",""VINES""]",1,vines-plant,ivy,"[""QUEEN"",""VINES"",""CALCIUM"",""THUMP"",""CANINE"",""TENTATIVE"",""UNTRAINED"",""FORGIVE"",""REVEAL"",""MISCHIEVOUS"",""REHEARSAL"",""DEMI"",""BLANKETS"",""NADA"",""MITTENS"",""PLANT"",""SLOPE"",""OMINOUS"",""UNRIPE"",""OUTSIDER""]",0.000152776,71,high_a_high_p,
null,<p style='font-size: 48px;'>+</p>,null,fixation,12523,html-keyboard-response,29,392171,0.0-3.0-0.9,9,3,2/23/23 0:20,197583627f3f28595f5da48ed5410dcb,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36",Macintosh,Chrome,110.0.0.0,OS X,10_15_7,,,,,,,,,
8838,DONE,"[""LOSING"",""OVERCOME""]",,12523,connector,30,401014,0.0-3.0-1.9,9,3,2/23/23 0:20,197583627f3f28595f5da48ed5410dcb,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36",Macintosh,Chrome,110.0.0.0,OS X,10_15_7,"[""LOSING"",""FEARFUL"",""OVERCOME""]",0,overcome-surpass,done,"[""SPIKE"",""DOLLAR"",""SURPASS"",""TRAGIC"",""ANEMIA"",""SHRUBS"",""FRY"",""ELECTRICAL"",""FEARFUL"",""LIGHTING"",""EIGHT"",""PASSIVE"",""OVERCOME"",""LOSING"",""PAGEANT"",""COOPERATIVE"",""INTEGRITY"",""RECEPTION"",""DREAMY"",""DISPUTE""]",0.0000844,39,high_a_low_p,
null,<p style='font-size: 48px;'>+</p>,null,fixation,12523,html-keyboard-response,31,402023,0.0-3.0-0.10,9,3,2/23/23 0:20,197583627f3f28595f5da48ed5410dcb,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36",Macintosh,Chrome,110.0.0.0,OS X,10_15_7,,,,,,,,,
9844,HARD,"[""ADVERSITY"",""FLINT""]",,12523,connector,32,411871,0.0-3.0-1.10,9,3,2/23/23 0:20,197583627f3f28595f5da48ed5410dcb,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36",Macintosh,Chrome,110.0.0.0,OS X,10_15_7,"[""ADVERSITY"",""FLINT""]",0,addition-abacus,hard,"[""BARBECUE"",""AMEND"",""SHEER"",""GOATS"",""SCRIPT"",""ABACUS"",""PERSONAL"",""MARGARINE"",""ORNATE"",""ADVERSITY"",""RUCKUS"",""SONNET"",""ACCOUNTING"",""LUBRICATION"",""ADDITION"",""CONCLUSION"",""CRISP"",""FLINT"",""TALKER"",""IMPLODE""]",0.0000828,52,high_a_low_p,
null,<p style='font-size: 48px;'>+</p>,null,fixation,12523,html-keyboard-response,33,412882,0.0-3.0-0.11,9,3,2/23/23 0:20,197583627f3f28595f5da48ed5410dcb,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36",Macintosh,Chrome,110.0.0.0,OS X,10_15_7,,,,,,,,,
8604,SCHOOL,"[""LEARNER"",""SEMESTER""]",,12523,connector,34,421491,0.0-3.0-1.11,9,3,2/23/23 0:20,197583627f3f28595f5da48ed5410dcb,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36",Macintosh,Chrome,110.0.0.0,OS X,10_15_7,"[""LEARNER"",""SEMESTER""]",0,semester-faculty,school,"[""LEARNER"",""ONCE"",""CYNIC"",""MAGNIFY"",""PRANKSTER"",""FIX"",""FACULTY"",""SWANKY"",""CHILDLESS"",""ANEW"",""COMET"",""GRAB"",""YOU"",""PEBBLE"",""EARNINGS"",""SEMESTER"",""STANDARD"",""IMPRISON"",""TOAD"",""ABORIGINE""]",0.000190946,367,high_a_high_p,
null,<p style='font-size: 48px;'>+</p>,null,fixation,12523,html-keyboard-response,35,422498,0.0-3.0-0.12,9,3,2/23/23 0:20,197583627f3f28595f5da48ed5410dcb,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36",Macintosh,Chrome,110.0.0.0,OS X,10_15_7,,,,,,,,,
15848,CHOCOLATE,"[""CITRUS"",""TART""]",,12523,connector,36,438350,0.0-3.0-1.12,9,3,2/23/23 0:20,197583627f3f28595f5da48ed5410dcb,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36",Macintosh,Chrome,110.0.0.0,OS X,10_15_7,"[""CITRUS"",""TART""]",1,citrus-tart,chocolate,"[""WOODWORKER"",""COMPETITION"",""ABSORBENT"",""NAVEL"",""TRACKS"",""CONSISTENT"",""CONTRACEPTION"",""CLASSIFY"",""TRAVERSE"",""OVERWHELMING"",""TART"",""LYRICS"",""APPROXIMATE"",""NIGHTINGALE"",""HOMEY"",""DESK"",""CITRUS"",""CONFIGURE"",""ADORATION"",""EXCEPTIONAL""]",0.0000904,53,high_a_low_p,
null,<p style='font-size: 48px;'>+</p>,null,fixation,12523,html-keyboard-response,37,439364,0.0-3.0-0.13,9,3,2/23/23 0:20,197583627f3f28595f5da48ed5410dcb,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36",Macintosh,Chrome,110.0.0.0,OS X,10_15_7,,,,,,,,,
6518,UDDER,"[""COW"",""DAIRY""]",,12523,connector,38,445886,0.0-3.0-1.13,9,3,2/23/23 0:20,197583627f3f28595f5da48ed5410dcb,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36",Macintosh,Chrome,110.0.0.0,OS X,10_15_7,"[""COW"",""DAIRY""]",1,cow-dairy,udder,"[""MEANDER"",""HEATING"",""INSUFFICIENT"",""HARPOON"",""DEPRESSION"",""DREAD"",""NATIONAL"",""SAFARI"",""COW"",""MANNERISM"",""BRIMSTONE"",""CRUSHED"",""DEPARTMENT"",""DAIRY"",""BUNCH"",""GEEK"",""SPYING"",""SAMPLE"",""FIELD"",""BIKINI""]",0.000207517,19,high_a_high_p,
null,<p style='font-size: 48px;'>+</p>,null,fixation,12523,html-keyboard-response,39,446888,0.0-3.0-0.14,9,3,2/23/23 0:20,197583627f3f28595f5da48ed5410dcb,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36",Macintosh,Chrome,110.0.0.0,OS X,10_15_7,,,,,,,,,
11283,ADOLESCENCE,"[""YOUTHFUL"",""TEENAGER""]",,12523,connector,40,458175,0.0-3.0-1.14,9,3,2/23/23 0:20,197583627f3f28595f5da48ed5410dcb,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36",Macintosh,Chrome,110.0.0.0,OS X,10_15_7,"[""YOUTHFUL"",""TEENAGER""]",1,teenager-youthful,adolescence,"[""WIFE"",""WISPY"",""YOUTHFUL"",""SHINGLES"",""CHIVALROUS"",""DEMOLISH"",""INVISIBLE"",""TREBLE"",""NUDITY"",""METRIC"",""DECLARE"",""IMAGINE"",""TOT"",""FRUSTRATED"",""RIDING"",""ROYALTY"",""GENERALLY"",""BELONGING"",""PENNY"",""TEENAGER""]",0.000190846,4,low_a_high_p,
null,<p style='font-size: 48px;'>+</p>,null,fixation,12523,html-keyboard-response,41,459188,0.0-3.0-0.15,9,3,2/23/23 0:20,197583627f3f28595f5da48ed5410dcb,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36",Macintosh,Chrome,110.0.0.0,OS X,10_15_7,,,,,,,,,
8935,POWERFUL,"[""SHOUTING"",""STALLION""]",,12523,connector,42,468127,0.0-3.0-1.15,9,3,2/23/23 0:20,197583627f3f28595f5da48ed5410dcb,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36",Macintosh,Chrome,110.0.0.0,OS X,10_15_7,"[""SHOUTING"",""STALLION""]",0,shouting-opinionated,powerful,"[""RESPECT"",""BUTTONS"",""SHOUTING"",""ARTS"",""HIDDEN"",""TRIPLE"",""MIGRATE"",""JUICER"",""RESTRICTED"",""CONVICT"",""SHELTER"",""LILAC"",""OPINIONATED"",""FORGETFUL"",""SOY"",""GAUDY"",""STALLION"",""DIFFER"",""VETERINARIAN"",""SURROUNDINGS""]",0.0000894,4,low_a_low_p,
null,<p style='font-size: 48px;'>+</p>,null,fixation,12523,html-keyboard-response,43,469138,0.0-3.0-0.16,9,3,2/23/23 0:20,197583627f3f28595f5da48ed5410dcb,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36",Macintosh,Chrome,110.0.0.0,OS X,10_15_7,,,,,,,,,
10632,CHEF,"[""COOKER"",""SPINACH""]",,12523,connector,44,479776,0.0-3.0-1.16,9,3,2/23/23 0:20,197583627f3f28595f5da48ed5410dcb,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36",Macintosh,Chrome,110.0.0.0,OS X,10_15_7,"[""COOKER"",""SPINACH""]",0,cooker-fodder,chef,"[""FODDER"",""ELEVATION"",""RIVER"",""INDIGNANT"",""MANUFACTURING"",""WIDOW"",""DEGREE"",""BURRITO"",""SPINACH"",""MENTAL"",""DRONE"",""UNFRIENDLY"",""LOVABLE"",""SHORE"",""SENSES"",""GOOF"",""SYMMETRY"",""FILTHY"",""SADNESS"",""COOKER""]",0.000172184,142,high_a_high_p,
null,<p style='font-size: 48px;'>+</p>,null,fixation,12523,html-keyboard-response,45,480788,0.0-3.0-0.17,9,3,2/23/23 0:20,197583627f3f28595f5da48ed5410dcb,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36",Macintosh,Chrome,110.0.0.0,OS X,10_15_7,,,,,,,,,
6862,MEDIA,"[""BROADCAST"",""TELEVISION""]",,12523,connector,46,487655,0.0-3.0-1.17,9,3,2/23/23 0:20,197583627f3f28595f5da48ed5410dcb,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36",Macintosh,Chrome,110.0.0.0,OS X,10_15_7,"[""BROADCAST"",""TELEVISION""]",1,broadcast-television,media,"[""AHOY"",""HELLFIRE"",""RAILWAY"",""PRIOR"",""HANGOVER"",""HEALTHY"",""LIPS"",""BAKE"",""SIN"",""FORCES"",""REPRESSION"",""BROADCAST"",""INTENSE"",""ODD"",""JAVELIN"",""SQUINT"",""TELEVISION"",""PHYSIOLOGY"",""SLIM"",""MOVIE""]",0.000159417,28,high_a_high_p,
